OIL_VOL,GAS_VOL,WAT_VOL,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,DAYTIME,id_model,model_type
1681.2469824886123,247700.71462184636,881.00205812345,1561.86,230582.15,1200.31,2015-07-02,fae3f457-4284-4bd7-9b65-85368744d855,LR
1618.2537448837106,237509.04810707213,1182.1407721531064,1554.86,229002.42,1199.77,2015-07-03,fae3f457-4284-4bd7-9b65-85368744d855,LR
1607.5517725497436,235925.07968204338,1181.5339422671566,1533.34,225351.47,1184.82,2015-07-04,fae3f457-4284-4bd7-9b65-85368744d855,LR
1594.6428608093736,234031.57094791892,1167.4048523286244,1519.99,223802.63,1146.24,2015-07-05,fae3f457-4284-4bd7-9b65-85368744d855,LR
1582.4796188752516,232470.01525594073,1131.0307015209466,1506.39,221597.33,1146.44,2015-07-06,fae3f457-4284-4bd7-9b65-85368744d855,LR
1570.227392195343,230737.7073251272,1131.6367422726623,1500.72,219821.15,1177.41,2015-07-07,fae3f457-4284-4bd7-9b65-85368744d855,LR
1569.328963037903,230089.44311038885,1161.0265853295869,1481.75,218310.47,1097.92,2015-07-08,fae3f457-4284-4bd7-9b65-85368744d855,LR
1551.3342071867912,228244.99091779682,1086.7321493686595,1473.25,216308.62,1059.39,2015-07-09,fae3f457-4284-4bd7-9b65-85368744d855,LR
1546.4781704115985,227245.94409651466,1050.1046515356413,1462.23,214393.87,1076.92,2015-07-10,fae3f457-4284-4bd7-9b65-85368744d855,LR
1536.4778035747852,225681.8202895719,1066.9203516683765,1436.82,213094.79,1061.89,2015-07-11,fae3f457-4284-4bd7-9b65-85368744d855,LR
1515.4587596864105,223763.35890899954,1054.8998505839254,1426.88,209867.58,1042.14,2015-07-12,fae3f457-4284-4bd7-9b65-85368744d855,LR
1506.4729140020681,221779.97492013706,1035.370252756056,1417.43,209010.44,1151.16,2015-07-13,fae3f457-4284-4bd7-9b65-85368744d855,LR
1490.7622060705485,219528.61655917496,1138.6022577450638,1412.23,208264.61,1152.94,2015-07-14,fae3f457-4284-4bd7-9b65-85368744d855,LR
1496.4356363826769,220436.4369761474,1141.86786869789,1394.07,205956.0,1130.91,2015-07-15,fae3f457-4284-4bd7-9b65-85368744d855,LR
1481.9538196995654,218561.10757498568,1121.8074182763378,1375.3,203175.83,1124.97,2015-07-16,fae3f457-4284-4bd7-9b65-85368744d855,LR
1465.5453456086914,216241.58299572777,1116.56542257531,1368.17,202223.08,1126.93,2015-07-17,fae3f457-4284-4bd7-9b65-85368744d855,LR
1468.301918433414,216433.35681810658,1119.1800790824855,1364.31,203950.48,1201.19,2015-07-18,fae3f457-4284-4bd7-9b65-85368744d855,LR
1474.2157639389911,217750.953349964,1191.5079014634584,1344.57,201782.32,1214.71,2015-07-19,fae3f457-4284-4bd7-9b65-85368744d855,LR
1449.8051405015874,214959.2881634711,1205.3875482316805,1335.28,199766.76,1206.5,2015-07-20,fae3f457-4284-4bd7-9b65-85368744d855,LR
1442.1083522692338,213633.32420576995,1197.569044031089,1344.53,201785.1,1211.57,2015-07-21,fae3f457-4284-4bd7-9b65-85368744d855,LR
1455.2768300929984,215475.7169441044,1202.4993767365593,1355.39,206116.94,1211.59,2015-07-22,fae3f457-4284-4bd7-9b65-85368744d855,LR
1451.6326989168572,216581.87313722138,1203.712931053081,1356.95,205050.09,1210.61,2015-07-23,fae3f457-4284-4bd7-9b65-85368744d855,LR
1458.907002273139,216846.00573141593,1202.1323705704501,1342.47,202187.98,1215.91,2015-07-24,fae3f457-4284-4bd7-9b65-85368744d855,LR
1444.8384426513455,214659.82754664944,1207.1380950327627,1345.15,202672.07,1225.35,2015-07-25,fae3f457-4284-4bd7-9b65-85368744d855,LR
1453.4861936140805,215972.90529416176,1217.609880271294,1332.97,200210.53,1225.71,2015-07-26,fae3f457-4284-4bd7-9b65-85368744d855,LR
1447.2630431794605,214759.77989916262,1218.3558095719936,1321.31,198496.44,1225.75,2015-07-27,fae3f457-4284-4bd7-9b65-85368744d855,LR
1436.6273015211896,213278.99356261143,1218.6628164273209,1299.1,196363.92,1213.08,2015-07-28,fae3f457-4284-4bd7-9b65-85368744d855,LR
1419.448218316583,211370.34468289977,1208.1037990266616,1335.51,201360.52,1391.11,2015-07-29,fae3f457-4284-4bd7-9b65-85368744d855,LR
1463.8080880349926,217064.51585572865,1377.6440457797019,1310.45,196486.36,1233.13,2015-07-30,fae3f457-4284-4bd7-9b65-85368744d855,LR
1438.8330862674545,213311.053874583,1227.1026096145442,1289.69,193076.74,1238.03,2015-07-31,fae3f457-4284-4bd7-9b65-85368744d855,LR
1424.023773304004,211057.49385280936,1232.5732373549783,1283.49,191777.37,1235.7,2015-08-01,fae3f457-4284-4bd7-9b65-85368744d855,LR
1423.228959161311,210599.38312315408,1230.3295612586426,1277.28,190069.8,1232.28,2015-08-02,fae3f457-4284-4bd7-9b65-85368744d855,LR
1412.7413580588352,208879.66074971083,1226.2319027135186,1267.78,190370.97,1234.55,2015-08-03,fae3f457-4284-4bd7-9b65-85368744d855,LR
1413.0246294348667,209395.49394104362,1230.1765194771992,1272.72,191632.56,1235.16,2015-08-04,fae3f457-4284-4bd7-9b65-85368744d855,LR
1412.8515955649348,209780.5427108895,1230.927748401711,1276.71,187873.58,1231.13,2015-08-05,fae3f457-4284-4bd7-9b65-85368744d855,LR
1416.3698611696027,208443.25820715577,1224.4293542352232,1256.08,186803.55,1236.31,2015-08-06,fae3f457-4284-4bd7-9b65-85368744d855,LR
1400.4815560818015,206977.7554717664,1231.10001699839,1236.69,188841.79,1230.4,2015-08-07,fae3f457-4284-4bd7-9b65-85368744d855,LR
1373.595784795618,205537.80783186897,1228.440181414837,1216.54,188670.41,1233.94,2015-08-08,fae3f457-4284-4bd7-9b65-85368744d855,LR
1361.6123752798987,204880.6002394746,1234.3721653679909,1229.59,188412.77,1235.15,2015-08-09,fae3f457-4284-4bd7-9b65-85368744d855,LR
1377.8676192492874,206121.3550200156,1234.2312457814187,1221.71,187300.89,1234.5,2015-08-10,fae3f457-4284-4bd7-9b65-85368744d855,LR
1368.2957698884525,204914.93030529653,1233.8544983342608,1201.51,186315.23,1171.73,2015-08-11,fae3f457-4284-4bd7-9b65-85368744d855,LR
